Name;Produkte;Kategorie;Halle
Deutscher Alpenverein e. V.;Flechten von Survival-Armbändern aus Paracord 2.10. Nachmittag + 3.10. ganzt., 5. + 6.10. ganzt.;Informationsstände, Dienstleistungen, Sonderschau;Halle J
Diakoneo Offene Hilfen;Memory und Tischtennistorwand 04.10.;Informationsstände, Dienstleistungen, Sonderschau;Halle J
DOMUS-SANA;Dampfsauger f. Haushalt u. Gewerbe m. u. o. Chemie, Staubsauger m. Wasserfilter;Maschinen und Werkzeuge;Halle H
Donau-Ries Kliniken;Informationsstand ;Informationsstände, Dienstleistungen, Sonderschau;Halle G
Donau-Ries-Medien GmbH;Informationsstand, Blättle (Donau-Ries- Aktuell);Informationsstände, Dienstleistungen, Sonderschau;Halle A
Dorf- und Bürgerverein Kleinsorheim;Informationsstand ;Informationsstände, Dienstleistungen, Sonderschau;Halle M
Dorfgemeinschaft Balgheim;Informationsstand ;Informationsstände, Dienstleistungen, Sonderschau;Halle M
Dorfladen Alerheim;regionale Produkte ;Informationsstände, Dienstleistungen, Sonderschau;Halle D
Dorfladen Amerdingen;regionale Produkte ;Informationsstände, Dienstleistungen, Sonderschau;Halle D
Dorfladen Daiting;regionale Produkte ;Informationsstände, Dienstleistungen, Sonderschau;Halle D
Dorfladen Fünfstetten;regionale Produkte ;Informationsstände, Dienstleistungen, Sonderschau;Halle D
Dorfladen Huisheim;regionale Produkte ;Informationsstände, Dienstleistungen, Sonderschau;Halle D
Dorfladen Megesheim;regionale Produkte ;Informationsstände, Dienstleistungen, Sonderschau;Halle D
Dorfladen Oberndorf;regionale Produkte ;Informationsstände, Dienstleistungen, Sonderschau;Halle D
Dorfladen UG;regionale Produkte ;Informationsstände, Dienstleistungen, Sonderschau;Halle D
Dorfladen Wolferstadt;regionale Produkte ;Informationsstände, Dienstleistungen, Sonderschau;Halle D
Drescher Fliesen;Fliesen, Bodenbeläge, Verlegematerial, Reiniger, Bauchemie;Reinigungsgeräte und -mittel;Halle M
DS Smith Packaging Deutschland;Verpackungsmuster, Infostand über Ausbildung;Recruiting, Arbeitskräfte, Personal;Halle E
E-Service Ueckert;Alarmanlagen, Sicherheitstechnik, Telefonanlagen;Informationsstände, Dienstleistungen, Sonderschau;Halle H
eb Naturstein GmbH;Natursteininterior, Kunst, Grabmal ;Gartengeräte, Gartengestaltung, Gartenbedarf;Halle K
Eberhardt - Die Creative;Küche und Eßzimmer ;Möbel, Küchen;Halle M
Eberhardt Elektro;Wechselrichter, Solarmodule, Elektro- installationsgegenstände;Energietechnik, Energieversorgung;Halle M
Egerschützen Enkingen;Informationsstand ;Informationsstände, Dienstleistungen, Sonderschau;Halle M
EIGNER Fertigbau GmbH & Co. KG;Betonfertigteilgarage ;Bauen, Ausbau, Fertighäuser, Immobilien;Freigelände
EKIM Ewiv;Rescue Gel, Gewinnspiel mit Sofortgewinn ;Gesundheit, Medizin, Pflege;Halle F
Elektro Eberhardt;Wechselrichter, Solarmodule, Elektro- Installationsgegenstände;Bauen, Ausbau, Fertighäuser, Immobilien;Halle M
Elektro-Innung Donau-Ries;Informationsstand, Innungs- und Azubiwerbung;Informationsstände, Dienstleistungen, Sonderschau;Halle B
Element Haar by Isabella;Informationsstand, Haarpflege, Perücken, Haarverlängerung;Mode, Beauty, Kosmetik;Halle K
EnBW ODR AG Ostwürttemberg;Strom, Gas, Telekommunikation, Energie- Beratung, Dienstleistung, E-Mobilität;Energietechnik, Energieversorgung;Halle B
Enßlin GmbH;Holzhausbau, Energetische Sanierung, Hallenbau;Bauen, Ausbau, Fertighäuser, Immobilien;Halle M
Erdgas Schwaben GmbH;Brennstoffzelle, E-Auto, CNG-Auto ;Energietechnik, Energieversorgung;Halle B
F.B. Zell Aktiv GmbH;Baubiologische Beratungen,Strahlenschutz der gesunde Platz für Mensch und Tier,;Gesundheit, Medizin, Pflege;Halle B
Fawas GmbH;Zentralstaubsauger, Wohnraumlüftung, Wäscheabwurfschächte;Bauen, Ausbau, Fertighäuser, Immobilien;Halle H
Feistle Wassertechnologie;balaAqua evolution classic Tritan Trinkflaschen;Wasserenthärtung und -aufbereitung;Halle F
Fenster - dicht!;Holzfenstersanierung, Einbruchschutz ;Fenster und Türen;Halle F
Fensterhaus Ansbach GmbH;Fenster, Türen, Vordächer, Dachflächen- fenster;Fenster und Türen;Halle E
Ferienland Donau-Ries;Informationsstand ;Informationsstände, Dienstleistungen, Sonderschau;Halle D
Flexmo by Kögl;Sprinter mit Fahrzeugeinrichtung ;Auto, Autozubehör, Autopflege, Autohaus;Freigelände
Freiwillige Feuerwehr Enkingen;Informationsstand ;Informationsstände, Dienstleistungen, Sonderschau;Halle M
Freiwillige Feuerwehr Kleinsorheim;Informationsstand ;Informationsstände, Dienstleistungen, Sonderschau;Halle M
Freiwillige Feuerwehr Möttingen;Informationsstand ;Informationsstände, Dienstleistungen, Sonderschau;Halle M
Fürstl. Bissinger Auerquelle;alkoholfreie Getränke ;Ausstellungsrestaurant, Getränkeausschank, Imbiss, Café;Halle G
Fußballabteilung;Informationsstand ;Informationsstände, Dienstleistungen, Sonderschau;Halle J
Garten- und Verschönerungsverein Balgheim;Informationsstand ;Informationsstände, Dienstleistungen, Sonderschau;Halle M
Gartenbau- und;Kartoffel oder Kräuter ;Nahrungs- und Genussmittel;Halle C
Gartenbau- und Verschönerungsverein Munningen;Obstsäfte ;Gartengeräte, Gartengestaltung, Gartenbedarf;Halle C
Gartenbau- und Verschönerungsverein Löpsingen;Drechsler ( Herr Erich Schabert ) ;Gartengeräte, Gartengestaltung, Gartenbedarf;Halle C
Gartenbauverein Hürnheim;Rund um die Honigbiene ;Gartengeräte, Gartengestaltung, Gartenbedarf;Halle C
Gartenbauverein Marktoffingen/Minderoffingen;Naturnaher Garten mit Federvieh ;Gartengeräte, Gartengestaltung, Gartenbedarf;Halle C
Gartenbauverein Mönchsdeggingen;Die Zwiebel - eine uralte Nutz- und Heilpflanze ;Gartengeräte, Gartengestaltung, Gartenbedarf;Halle C
Gartengestaltung Bissinger;Gartengestaltung ;Gartengeräte, Gartengestaltung, Gartenbedarf;Halle M
