Name;Produkte;Kategorie;Halle
Lechner Trachtelstadl;Trachten für Damen und Herren, Dirndl, Lederhosen, Blusen, Schuhe, Strümpfe,;Mode, Beauty, Kosmetik;Halle K
Lechwerke AG;PV + Speicher Lösungen, SolarCloud, E-Mobility-Ladelösungen, Gewinnspiel;Energietechnik, Energieversorgung;Halle B
Leeb - Balkone & Zäune;Balkone, Zäune, Trennwände, Über- dachungen, Sommergärten, Anbaubalkone;Wintergärten, Überdachungen, Markisen;Freigelände
Lessmann Herwig;Möbel, Gartenmöbel ;Möbel, Küchen;Halle S
Linsenmeyer Joachim;Bett, Bettwaren, Möbel ;Betten, Bettwäsche, Felle;Halle S
Luna Trading GmbH;Schmuck ;Schmuck;Halle G
Maierbier;regionales Bier ;Nahrungs- und Genussmittel;Halle A
Mair Jürgen;Wintergarten, Sommergarten, Terrassen- überdachungen, Markisen;Wintergärten, Überdachungen, Markisen;Halle E
Mairie de Bourgueil;Wein und Häppchen ;Informationsstände, Dienstleistungen, Sonderschau;Halle D
Markt Wallerstein;Informationsstand ;Informationsstände, Dienstleistungen, Sonderschau;Halle D
Mayer Hubarbeitsbühnen GmbH;LKW-Arbeitsbühne, Raupenscheren- arbeitsbühne;Maschinen und Werkzeuge;Freigelände
Mediagon AG;Kalk- und Rostschutzgerät ;Wasserenthärtung und -aufbereitung;Halle E
meinBodenbelag.de GmbH;Parkett, Vinyl, Laminat, Kork, Holz- u. WPC-Terrassen;Bauen, Ausbau, Fertighäuser, Immobilien;Halle E
Meyr GmbH;Fenster, Türen, Holzbau, Elektroküchen- geräte, Böden, Zimmerei;Bauen, Ausbau, Fertighäuser, Immobilien;Halle S
Montessori Schule Deiningen;Basteln für Kinder, Schulpräsentation ;Informationsstände, Dienstleistungen, Sonderschau;Halle H
Moosverdacht GmbH;Biologische Moos-, Algen-, Flechten- Entfernung von Terrassen, Hofeinfahrten;Reinigungsgeräte und -mittel;Halle H
Mrs.Sporty Nördlingen;Informationsstand Standbesetzung am 05. + 06.10.2019;Fitness, Gesundheit;Halle G
mt marketing GmbH;Informationsstand, Schäferwagen ;Informationsstände, Dienstleistungen, Sonderschau;Freigelände
Münzinger Harald;Restaurant Ochs am Spieß am 03. und 06.10.2019;Ausstellungsrestaurant, Getränkeausschank, Imbiss, Café;Halle L, Freigelände
Mutsch Naturseifen;Naturseifen ;Kunst- u. Geschenkartikel;Halle A
Nature Power Pelletes;Wolle, Woll-Pellets ;Heizung, Heizungstechnik, Sanitär;Halle H
Obst- und Gartenbauverein Appetshofen;Informationsstand ;Informationsstände, Dienstleistungen, Sonderschau;Halle M
Ohne Umweg;unverpackt: Seifen & Naturkosmetik, reg. Erzeugnisse: Honig, Wurst, Brot, Kaffee,;Mode, Beauty, Kosmetik;Halle A
ORBIMED;BIO-Zahnpflegeprodukte und Naturseifen;Gesundheit, Medizin, Pflege;Halle A
Ott R. GmbH;Heizkessel ;Heizung, Heizungstechnik, Sanitär;Halle B
Pallhuber GmbH & Co. KG;Weine, Sekte, Säfte, Sherry ;Nahrungs- und Genussmittel;Halle F
paramobil GmbH;PLA Wohnmobil ;Mobilität, Zweirad, Reisen;Freigelände
perfecta - Fenster u. Türen;Fenster, Türen, Rollladensysteme ;Altbau, Modernisierung;Halle H
Pfaff Heinrich;Imker ;Nahrungs- und Genussmittel;Halle A
Pfefferer Jörg-Josef e.K.;Seecontainer, Lagercontainer, Containerzubehör;Verschiedenes;Freigelände
Pfister Friedrich;PKW-Kastenanhänger, -Viehanhänger, kleiner Hoflader;Auto, Autozubehör, Autopflege, Autohaus;Freigelände
Pierre René Professional;Kosmetik-Produkte ;Mode, Beauty, Kosmetik;Halle K
Polizeiinspektion Dillingen a.d. Donau;Informationsstand, Ausbildung zur 2. + 3. Qualifikationsebene;Informationsstände, Dienstleistungen, Sonderschau;Halle F
Portas Fachbetrieb;Treppe, Türen, Fenster, Decke, Haustüren ;Altbau, Modernisierung;Halle F
Posaunenchor Enkingen;Informationsstand ;Informationsstände, Dienstleistungen, Sonderschau;Halle M
Posaunenchor Kleinsorheim;Informationsstand ;Informationsstände, Dienstleistungen, Sonderschau;Halle M
Premium Personal GmbH;Informationsstand ;Informationsstände, Dienstleistungen, Sonderschau;Halle F
Progas GmbH & Co. KG;Flüssiggas, Geräte und Zubehör ;Energietechnik, Energieversorgung;Halle E
Rappenegger Monika;Tupperware ;Haushaltsgeräte, Haushaltswaren;Halle H
Regionalmanagement Donau-Ries;Informationsstand ;Informationsstände, Dienstleistungen, Sonderschau;Halle D
Reidelshöfer - Das Bettenhaus;Wasserbetten, Matratzen, Tempur Teller- roste, Zirbenholzbetten, Bettgestelle,;Betten, Bettwäsche, Felle;Halle G
RENOfloor® GmbH;Schnellsanierung für Balkone, Terrassen und Treppen bzw. Wohnbereiche;Altbau, Modernisierung;Halle G
Ries Aronia;Aroniasaft ;Nahrungs- und Genussmittel;Halle A
Rieser Agrartechnik GmbH;Rasenmäher, Forstgeräte, Reinigungs- technik, Rasenroboter;Landwirtschaft, Landwirtschaftsgeräte;Freigelände
Rieser Eierteigwaren-Fabrik;Nudeln, Tomatensoße ;Nahrungs- und Genussmittel;Halle M
Rieser Nachrichten;Informationsstand ;Informationsstände, Dienstleistungen, Sonderschau;Halle D
RMG Trockenlegung GmbH;Abdichtungsprodukte, Kellertrockenlegung Horizontalsperre, Schleierinjektion;Bauen, Ausbau, Fertighäuser, Immobilien;Halle F
Rotel GmbH;Dampfdruckbügeleisen und Zubehör ;Haushaltsgeräte, Haushaltswaren;Halle H
RST - Beschichtungs GmbH;Balkon-, Terrassen- u. Treppenbeschich- tungen, Garagenbodenbeschichtung;Balkone, Geländer, Zäune;Halle H
Rugby Abteilung;Informationsstand ;Informationsstände, Dienstleistungen, Sonderschau;Halle J
S.C. Boxenstopp;Auto, Felgen ;Auto, Autozubehör, Autopflege, Autohaus;Halle M
Samocca;Kaffee und Kuchen ;Nahrungs- und Genussmittel;Halle D
Samtpfoten Katzenhilfe Ries e.V.;Bücher, CD's, DVD's, Plüschtiere, etc. gegen Spende zum Mitnehmen;Informationsstände, Dienstleistungen, Sonderschau;Halle J
Sankt Ulrich Verlag GmbH;Katholische SonntagsZeitung für das Bistum Augsburg;informationsstände, Dienstleistungen, Sonderschau;Halle G
Schnell Günter - Schreinerei/;Informationsstand, Outdoorküche aus Holz ;Möbel, Küchen;Halle S
Schreiner-Innung Donau-Ries;Möbel ;Möbel, Küchen;Halle S
Schreinerei König GbR;Fenster, Haus- u. Zimmertüren, Insekten- schutz, Überdachungen, Roll. Isolierung,;Altbau, Modernisierung;Halle S
Schützenverein St. Georg Möttingen e.V.;Informationsstand ;Informationsstände, Dienstleistungen, Sonderschau;Halle M
Schweihofer Winfried;Akku-Geräte der Firma STIHL, Rasen- roboter Fa. STIHL;Gartengeräte, Gartengestaltung, Gartenbedarf;Halle E
Selbsthilfegruppe bezüglich;Informationshefte und Spruchkarten ;Informationsstände, Dienstleistungen, Sonderschau;Halle G
Skiba Fensterabdichtungen;Fenster- u. Türenabdichtungen, Service ;Bauen, Ausbau, Fertighäuser, Immobilien;Halle E
Soldaten- und Kameradenverein;Informationsstand ;Informationsstände, Dienstleistungen, Sonderschau;Halle M
Sparkasse Donauwörth;Informationsstand, Präsentation Finanzdienstleistungen;Informationsstände, Dienstleistungen, Sonderschau;Halle K
Stadt Harburg;Informationsstand ;Informationsstände, Dienstleistungen, Sonderschau;Halle D
Stadt Heidenheim;Informationsstand ;Informationsstände, Dienstleistungen, Sonderschau;Halle G
Stadt Nördlingen;Informationsstand ;Informationsstände, Dienstleistungen, Sonderschau;Halle D
Stadt Oettingen i. Bay.;Informationsstand ;Informationsstände, Dienstleistungen, Sonderschau;Halle K
Stadt Olomouc;lokales Bier Olmützer Quargel;Nahrungs- und Genussmittel;Halle D
Stadt Stollberg;Stollen, regionales Bier ;Nahrungs- und Genussmittel;Halle D
Stadtmuseum Nördlingen;Informationsstand ;Informationsstände, Dienstleistungen, Sonderschau;Halle D
Stahl Manfred;Würzen, Suppen, Soßen, Salate, ;Nahrungs- und Genussmittel;Halle E
Ste-Cra Aluminium u. Edelstahlverarbeitung;Zäune, Tore, Geländer ;Garagen, Torantriebe;Freigelände
Stengel Ziegelwerk GmbH & Co. KG;Ziegel ;Altbau, Modernisierung;Halle F
Stockschützen;Informationsstand ;Informationsstände, Dienstleistungen, Sonderschau;Halle J
Streunerhilfe Rudelstetten e.V.;Selbstgemachte Hundeartikel, Schnüffel- teppiche, Leinen, Halsbänder, Halstücher;Tierschauen, Tierbedarf;Freigelände
